video_id,video,method,metric_name,metric_value
17,car-turn,Kim,psnr,23.00661991
18,motocross-jump,Kim,psnr,23.40320381
19,car-shadow,Kim,psnr,25.11523121
20,tennis,Kim,psnr,23.2244811
21,crossing,Kim,psnr,23.77079137
22,bus,Kim,psnr,22.79983411
23,motocross-bumps,Kim,psnr,24.34446983
24,train,Kim,psnr,23.49855485
25,camel,Kim,psnr,23.51973018
26,breakdance,Kim,psnr,25.68137631
27,mallard-fly,Kim,psnr,23.80388779
28,upside-down,Kim,psnr,24.24510408
29,classic-car,Kim,psnr,26.95915621
30,gold-fish,Kim,psnr,24.29594133
31,bike-packing,Kim,psnr,24.95799272
32,paragliding-launch,Kim,psnr,23.10044184
33,bmx-trees,Kim,psnr,25.13214233
34,flamingo,Kim,psnr,23.87231939
35,tractor-sand,Kim,psnr,23.80749045
36,dogs-jump,Kim,psnr,24.47564717
37,horsejump-high,Kim,psnr,25.13375459
38,dog-agility,Kim,psnr,25.21660983
39,disc-jockey,Kim,psnr,25.62710722
40,hike,Kim,psnr,25.27606888
41,miami-surf,Kim,psnr,25.15281562
42,dance-jump,Kim,psnr,24.78055992
43,lindy-hop,Kim,psnr,24.22060453
44,tuk-tuk,Kim,psnr,27.31742927
45,judo,Kim,psnr,22.05928285
46,blackswan,Kim,psnr,26.76630213
47,boat,Kim,psnr,22.94620672
48,car-roundabout,Kim,psnr,25.15720303
49,loading,Kim,psnr,26.06381285
50,night-race,Kim,psnr,25.08269352
51,dancing,Kim,psnr,27.6641603
52,paragliding,Kim,psnr,24.77039792
53,kite-walk,Kim,psnr,26.10032751
54,libby,Kim,psnr,27.18205178
55,drift-turn,Kim,psnr,25.63361462
56,rollerblade,Kim,psnr,25.62214017
57,kid-football,Kim,psnr,25.54947012
58,drift-chicane,Kim,psnr,26.73042163
59,lucia,Kim,psnr,27.46348608
60,color-run,Kim,psnr,23.416616
61,lab-coat,Kim,psnr,30.65105063
62,hockey,Kim,psnr,29.56003586
63,elephant,Kim,psnr,28.40834749
64,dog-gooses,Kim,psnr,26.8730337
65,planes-water,Kim,psnr,26.75099955
66,india,Kim,psnr,24.90930475
67,dog,Kim,psnr,24.4851954
68,swing,Kim,psnr,28.68856191
69,kite-surf,Kim,psnr,29.20021858
70,mbike-trick,Kim,psnr,27.307014
71,pigs,Kim,psnr,30.88290687
72,breakdance-flare,Kim,psnr,29.32350858
1,boxing-fisheye,Oh,psnr,21.35216256
2,longboard,Oh,psnr,22.92616184
3,lady-running,Oh,psnr,22.48490505
4,cat-girl,Oh,psnr,22.33234469
5,walking,Oh,psnr,26.98137007
6,scooter-black,Oh,psnr,24.67898121
7,dogs-scale,Oh,psnr,25.17258038
8,rallye,Oh,psnr,25.40492168
9,motorbike,Oh,psnr,26.43531559
10,drift-straight,Oh,psnr,25.44172127
11,mallard-water,Oh,psnr,24.66829799
12,scooter-board,Oh,psnr,27.11738878
13,bear,Oh,psnr,27.82268884
14,varanus-cage,Oh,psnr,27.15860155
15,horsejump-low,Oh,psnr,28.5770383
16,schoolgirls,Oh,psnr,30.11993079
17,car-turn,Oh,psnr,27.57157465
18,motocross-jump,Oh,psnr,28.23591283
19,car-shadow,Oh,psnr,28.65988959
20,tennis,Oh,psnr,29.69699332
21,crossing,Oh,psnr,27.99014091
22,bus,Oh,psnr,26.62374594
23,motocross-bumps,Oh,psnr,28.52230544
24,train,Oh,psnr,26.83756048
25,camel,Oh,psnr,28.03632581
26,breakdance,Oh,psnr,29.36876692
27,mallard-fly,Oh,psnr,29.48330794
28,upside-down,Oh,psnr,27.65544222
29,classic-car,Oh,psnr,31.22901675
30,gold-fish,Oh,psnr,28.88476933
31,bike-packing,Oh,psnr,28.95641018
32,paragliding-launch,Oh,psnr,27.53893853
33,bmx-trees,Oh,psnr,29.58740572
34,flamingo,Oh,psnr,28.22212554
35,tractor-sand,Oh,psnr,27.11037767
36,dogs-jump,Oh,psnr,27.32523314
